日期,時間,地點,死亡,受傷,車種,肇事因素
2009年1月2日,02:13,國道1號公路北向279.475公里,3,0,自小客車、拖車,曳引車與拖車間聯結器斷裂，致拖車滑至中線車道，後方自小客閃避不及撞擊拖車起火。
2009年2月7日,14:30,彰化縣花壇鄉彰員路2段621號前,3,0,小自客貨車、輕機車,違反禁制標線行駛（逆向行駛）
2009年3月3日,09:40,雲林縣斗南鎮石溪里延平路3段389號前（臺1線246.8公里）,1,0,半聯結車（罐槽體裝載裝載正己烷橡膠溶劑）翻覆,未注意車前狀況
2009年4月1日,13:00,臺東縣卑南鄉初鹿村龍過脈（臺9線359.5公里處）,0,1,半聯結車（罐槽體裝載氫氧化納）翻覆,行經彎道未減速慢行
2009年4月11日,15:30,雲林縣臺西鄉（雲155線2.6公里處）,3,1,拼裝車、自小客,違反禁制標線行駛（逆向行駛）
2009年5月30日,09:25,南投縣南投市中興路小溪橋南端（臺14乙線14.5公里北向車道）,0,16,大客車、自小貨車,未注意車前狀況 
2009年6月15日,19:15,臺東縣鹿野鄉永安村（臺9線345.6公里處）,3,2,自小客車、耕耘機、自小客貨車,酒醉駕車
2009年6月19日,20:04,宜蘭縣頭城鎮濱海路四段111號前（臺2線128.8公里處）,3,0,自小貨、營業曳引車,違反禁制標線行駛（逆向行駛）
2009年10月10日,05:20,國道三號公路南向385.02公里,4,5,民營大客車、自用小貨車、自用小客車,未保持??安全距?
2009年10月15日,10:52,國道一號公路北向209.373公里,7,21,遊覽車大客車、自用小貨車（含客、貨兩用）,未注意?前?況
2009年12月27日,17:30,嘉義縣東石鄉東崙村18-11號（嘉157線42.5公里）,2,9,重機車、自小客、自小客,支線道車未讓幹線道車先行
2010年1月2日,17:55,新竹縣竹北市東興路2段,4,1,自小客車,汽車自撞
2010年1月3日,14:00,高雄縣內門鄉光興村台3線路段,7,2,廂型自小客貨車、營業貨運曳引車,車輛對撞
2010年1月16日,00:43,嘉義縣布袋鎮興中里海港大道與後寮路口,3,3,自小客車,汽車自撞
2010年1月26日,18:35,臺北市中山區南京東路2段,0,21,民營公車、民營公車,車輛追撞
2010年2月4日,06:40,彰化縣大城鄉東港村台17線路段,0,0,營聯結車、營曳引油罐車,車輛追撞
2010年2月8日,09:25,國道6號公路西向9公里590公尺處,3,5,砂石車、自小客車,車輛同向擦撞
2010年3月28日,06:24,臺中縣港埠路與莊敬路口附近,4,0,自小客車,汽車自撞
2010年4月3日,22:15,屏東縣枋山鄉楓港村舊庄路段,3,0,自小客車,汽車自撞
2010年8月5日,11:50,南投縣埔里鎮中山路段,0,16,自小客車、租賃小客車,車輛對向擦撞
2010年11月15日,14:35,桃園縣龜山鄉忠義路段,4,9,營大客車、自小貨車、動力機械,車輛追撞
2010年12月5日,03:25,苗栗縣頭份鎮中華路段,3,2,自小客車,汽車自撞
2010年12月12日,09:29,嘉義縣阿里鄉樂野村4鄰路段,4,24,遊覽車,汽車自撞
2011年3月25日,13:00,臺東縣海端鄉初來村臺20線205公里處,3,0,自小客車、營大貨車,車輛對向擦撞(自小客酒駕)
2011年4月16日,14:40,彰化縣二林鎮二溪路6段,4,1,自小客車,酒駕自撞
2011年6月4日,23:50,國道3號北向377公里660公尺,4,1,自小客車、自小客車,同向車輛追撞(酒駕)
2011年6月26日,17:48,高雄市鳳山區國光路與五權南路口,1,18,自小客車,車輛撞行人
2011年7月17日,04:08,嘉義縣太保市北港路2段,3,2,自小客車,酒駕自撞
2011年9月28日,06:54,嘉義縣民雄鄉文隆村18鄰文化路,3,2,自小客車,自撞
2011年11月7日,13:00,臺北市忠孝東路一段與金山南路口,0,16,大客車、營業曳引車,"1.大客車違規左轉
2.曳引車違規行駛內側車道"
2011年11月29日,02:10,桃園縣觀音鄉新華路1段,3,0,自小客車,酒駕自撞（電線桿）
2011年12月13日,11:45,國道3號南向48.5公里,3,0,聯結車,閃避失控
2012年1月3日,14:35,國道1號南向287.45公里(新營交流道出口),3,2,營半聯結車、自大貨車、自小客貨,同向擦撞
2012年1月17日,08:42,桃園縣楊梅市幸福水泥平交道,1,26,營曳引車、太魯閣號,側撞
2012年2月17日,18:49,花蓮縣台11丙線43公里,0,32,營大客車,自撞（護欄）
2012年5月7日,13:32,雪山隧道（國道5號南下26公里）,2,31,營大客車,追撞
2012年8月24日,13:15,嘉義市西區世賢路三段地下道（機慢車道）,0,26,營大客車,自撞（涵洞）
2012年10月20日,00:02,屏東縣東港鎮187線與港東路口（187線34.5公里）,3,3,重機車、自小客車,同向擦撞
2012年11月24日,16:20,國道1號北向263.360公里（過嘉義交流道）,3,24,自小客車、營大客車,同向擦撞
2012年12月8日,21:30,桃園縣中壢市中豐北路1段,3,0,自小客車,自撞（分隔島）
2012年12月9日,15:04,新竹縣尖石鄉司馬庫斯8.85公里,13,10,營大客車,其他（倒退墜崖）
2012年12月10日,09:58,嘉義縣台18線39公里（阿里山公路）,0,15,營大客車,自撞（護欄）
