各警察局近半年來易發生婦幼被害犯罪地點調查表,,,
地點位置,,管轄警察局,分局
1,澎湖縣國立空中大學澎湖指導中心校區周邊,澎湖縣政府警察局,馬公分局
2,澎湖縣草蓆尾,澎湖縣政府警察局,馬公分局
3,澎湖縣國立澎湖科技大學周邊,澎湖縣政府警察局,馬公分局
4,澎湖縣文化局周邊,澎湖縣政府警察局,馬公分局
5,澎湖縣三多路龍行新城周邊,澎湖縣政府警察局,馬公分局
6,澎湖縣西嶼鄉竹灣漁港周邊,澎湖縣政府警察局,白沙分局
7,澎湖縣第三漁港周邊,澎湖縣政府警察局,馬公分局
8,嘉義縣民雄鄉建國路2段地下道,嘉義縣警察局,民雄分局
9,嘉義縣民雄鄉建國路1段,嘉義縣警察局,民雄分局
10,嘉義縣六腳鄉豐美村,嘉義縣警察局,朴子分局
11,嘉義縣六腳鄉蒜東村蒜頭路,嘉義縣警察局,朴子分局
12,臺南市新營區忠政里中正路段,臺南市政府警察局,新營分局
13,臺南市隆田火車站(後站)臺南市官田區中興路與中華路口,臺南市政府警察局,麻豆分局
14,臺南市官田區官田里420至430號之間,臺南市政府警察局,麻豆分局
15,臺南市麻豆區173現太西橋北端,臺南市政府警察局,麻豆分局
16,臺南市善化區民族路及信路口號周邊,臺南市政府警察局,善化分局
17,臺南市善化區文昌里中正路188巷周邊,臺南市政府警察局,善化分局
18,臺南市新市區永福街100至124號周邊,臺南市政府警察局,善化分局
19,臺南市仁德區仁德里仁德交流道附近汽車旅館,臺南市政府警察局,歸仁分局
20,臺南市仁德區成功里保生東路300至330號附近,臺南市政府警察局,歸仁分局
21,臺南市玉井區中華路58至78號,臺南市政府警察局,玉井分局
22,臺南市玉井區中正路118至138號,臺南市政府警察局,玉井分局
23,臺南市玉井區民生路390至410號,臺南市政府警察局,玉井分局
24,臺南市玉井區民族路20至40號,臺南市政府警察局,玉井分局
25,臺南市玉井區中華路103至123號,臺南市政府警察局,玉井分局
26,臺南市玉井區和平街127至147號,臺南市政府警察局,玉井分局
27,臺南市玉井區信義街95至115號,臺南市政府警察局,玉井分局
28,臺南市玉井區民主街70至90號,臺南市政府警察局,玉井分局
29,臺南市玉井區中山路242至262號,臺南市政府警察局,玉井分局
30,臺南市玉井區民權路140至166號,臺南市政府警察局,玉井分局
31,臺南市玉井區民權路22至42號,臺南市政府警察局,玉井分局
32,臺南市玉井區東勢路117至139號,臺南市政府警察局,玉井分局
33,臺南市南化里64至84號,臺南市政府警察局,玉井分局
34,臺南市永康區永安路105號至165號,臺南市政府警察局,永康分局
35,臺南市永康區中正北路101號至189號,臺南市政府警察局,永康分局
36,臺南市永康區中華路245號至255號,臺南市政府警察局,永康分局
37,臺南市永康區忠孝路76號至106號,臺南市政府警察局,永康分局
38,臺南市永康區富強路一段278號至富強路二段10號,臺南市政府警察局,永康分局
39,臺南市東區仁和路67巷11-31號,臺南市政府警察局,第一分局
40,臺南市東區勝利路34-68號,臺南市政府警察局,第一分局
41,臺南市東區長榮路3段58-102號,臺南市政府警察局,第一分局
42,臺南市東區成功大學光復校區圍牆邊後火車站附近,臺南市政府警察局,第一分局
43,臺南市東區凱旋路東興路口附近,臺南市政府警察局,第一分局
44,臺南市東區育樂街109至251號,臺南市政府警察局,第一分局
45,臺南市東區崇善11街12巷2號至10號,臺南市政府警察局,第一分局
46,臺南市東區仁和路51號至169號,臺南市政府警察局,第一分局
47,臺南市東區生產路285號至313號,臺南市政府警察局,第一分局
48,臺南市東區東門路2段137至291號,臺南市政府警察局,第一分局
49,臺南市東區富農街1段59至79號,臺南市政府警察局,第一分局
50,臺南東區大同路2段111至121號,臺南市政府警察局,第一分局
51,臺南市東區長榮路3段3至29號,臺南市政府警察局,第一分局
52,臺南市東區前鋒路210至222號,臺南市政府警察局,第一分局
